location_type,family_income,financial_aid_status,distance_to_institute,internet_connectivity_issues,motivation_score,career_alignment,stress_levels,family_support,attendance_rate,test_scores_avg,backlogs,teaching_quality_rating,dropout
Urban,3752.0,0,5.1,0,3,1,3,1,90.4,73.5,3,7,1
Urban,18860.0,0,4.1,2,9,3,2,3,10.0,54.2,1,7,0
Urban,9318.0,1,9.6,2,4,1,3,2,70.6,56.1,0,3,1
Urban,13856.0,1,1.0,1,4,2,3,2,71.5,50.8,0,7,0
Rural,15305.0,0,12.23,0,4,3,2,2,49.7,36.0,2,4,1
Semi-urban,4385.0,0,8.7,0,5,3,2,1,53.9,45.5,0,8,0
Rural,10361.0,2,5.93,2,3,1,1,2,66.1,85.4,0,8,0
Urban,12508.0,0,2.8,2,7,2,1,2,54.5,48.0,0,4,0
Urban,10501.0,1,11.7,0,2,1,3,1,32.1,78.7,1,7,1
Urban,2177.0,0,4.5,0,4,2,2,1,59.0,52.1,1,7,1
Rural,6739.0,2,9.12,1,4,1,2,2,86.7,72.8,2,6,0
Rural,13459.0,0,10.87,1,9,2,1,3,47.3,51.3,6,10,1
Rural,7655.0,0,21.18,1,6,2,3,1,86.6,61.8,0,4,1
Rural,2803.0,2,1.56,1,4,3,2,1,76.8,78.1,0,2,0
Semi-urban,5054.0,1,13.4,1,8,3,2,3,66.8,76.0,1,5,0
Semi-urban,24412.0,0,2.9,0,10,3,2,3,46.0,56.2,4,2,1
Urban,5293.0,0,9.1,2,5,1,2,3,16.4,38.2,7,7,1
Rural,5734.0,0,2.35,1,10,3,2,2,76.5,75.7,0,10,0
Semi-urban,20513.0,0,0.7,2,4,2,3,2,32.0,57.8,0,10,1
Rural,4235.0,1,2.28,0,5,2,2,2,51.8,59.2,0,5,1
Rural,8245.0,1,19.29,1,6,2,2,2,68.6,35.0,0,6,1
Urban,39058.0,1,20.5,0,3,1,2,2,55.7,76.5,2,8,0
Urban,21853.0,2,1.7,1,7,2,3,1,63.3,68.2,1,7,0
Urban,50000.0,1,15.1,1,6,2,3,2,74.2,45.2,0,5,0
Rural,2000.0,2,3.0,0,9,2,2,2,89.3,46.0,0,7,0
Urban,9509.0,2,11.0,0,7,2,2,3,73.6,41.4,4,4,0
Semi-urban,6319.0,0,14.0,1,7,1,1,2,44.2,67.8,7,8,1
Urban,23701.0,0,4.1,1,4,1,2,1,44.7,73.7,5,3,1
Urban,12612.0,0,8.0,1,4,2,2,1,70.3,76.3,0,7,0
Semi-urban,5377.0,1,2.0,0,6,3,1,2,68.0,49.8,4,7,1
Urban,7057.0,1,1.3,1,9,3,1,2,68.1,78.4,0,9,0
Urban,22937.0,2,1.2,1,7,2,2,1,27.5,57.5,4,6,1
Semi-urban,11105.0,0,0.5,2,10,3,2,2,75.2,60.6,0,10,0
Urban,6727.0,1,5.5,0,8,3,3,1,77.3,64.3,0,7,0
Urban,35448.0,1,1.6,2,1,2,2,1,50.0,58.6,3,9,1
Semi-urban,13200.0,1,1.9,0,6,2,2,2,69.2,79.7,1,6,0
Semi-urban,42354.0,1,0.8,1,7,2,1,3,77.7,97.6,1,8,0
Semi-urban,14123.0,0,15.4,0,9,3,1,3,60.6,45.6,2,3,0
Urban,12392.0,0,4.9,1,5,2,3,3,62.7,51.0,0,4,1
Semi-urban,10426.0,1,0.5,1,6,2,3,2,72.6,46.4,2,8,0
Rural,4280.0,0,6.98,0,5,2,2,1,77.9,100.0,4,9,1
Rural,6161.0,2,2.21,2,4,1,3,1,68.1,39.1,1,8,1
Rural,31274.0,0,14.91,2,9,3,1,2,88.2,67.2,1,4,0
Semi-urban,28917.0,1,3.0,0,3,3,2,3,73.4,56.7,1,7,0
Semi-urban,13079.0,1,2.6,0,3,1,1,2,71.4,73.2,3,7,0
Rural,6496.0,1,3.76,1,5,1,1,2,83.6,73.5,0,7,0
Semi-urban,11612.0,2,8.8,1,10,2,3,3,55.9,40.1,0,3,0
Semi-urban,10997.0,0,14.5,2,10,3,1,2,53.4,46.0,6,7,1
Semi-urban,7551.0,1,18.7,0,3,1,1,3,85.8,100.0,4,8,1
Urban,2466.0,0,14.7,1,5,1,1,3,73.3,63.8,0,7,0
Urban,38316.0,1,4.1,2,6,2,3,3,25.9,69.8,9,6,1
Rural,17571.0,1,20.59,1,5,1,1,2,68.8,57.7,0,3,0
Rural,7282.0,0,10.97,2,5,1,2,2,88.4,57.9,1,3,1
Semi-urban,7841.0,1,19.4,2,7,2,3,2,68.9,62.6,5,6,1
Semi-urban,20057.0,1,7.8,1,3,1,3,3,54.0,51.7,5,9,1
Rural,6579.0,0,50.0,1,5,2,3,2,69.1,60.1,7,8,1
Urban,5858.0,0,1.3,0,3,1,3,2,76.9,96.0,2,5,1
Semi-urban,11262.0,0,4.3,1,6,1,1,3,92.5,94.8,0,8,0
Semi-urban,18220.0,1,16.7,1,7,2,3,2,68.2,64.9,0,8,0
Rural,8122.0,1,3.24,1,5,2,3,2,78.1,45.4,0,10,0
Semi-urban,23017.0,1,6.7,0,7,2,1,2,93.7,60.1,0,7,0
Rural,3359.0,0,6.63,2,7,2,1,2,20.3,45.6,0,4,1
Rural,9020.0,0,50.0,0,2,1,2,1,34.0,77.9,0,8,1
Semi-urban,6992.0,1,26.4,2,2,2,3,1,53.3,52.7,2,6,1
Rural,3200.0,0,1.06,0,6,1,3,2,63.9,68.5,2,10,1
Semi-urban,5063.0,2,11.6,0,7,2,1,2,78.1,41.5,4,9,0
Semi-urban,8507.0,0,4.2,0,6,2,1,3,68.1,42.0,7,7,1
Semi-urban,10512.0,1,0.5,1,5,3,2,1,31.6,58.3,8,10,1
Semi-urban,19399.0,2,3.9,0,4,1,3,1,74.0,35.4,0,6,1
Rural,22870.0,0,19.27,0,5,2,1,1,83.2,68.7,0,5,0
Urban,8807.0,1,7.7,0,4,3,3,1,57.3,66.0,0,5,0
Urban,31599.0,1,1.2,2,5,3,3,1,57.2,43.8,0,10,1
Urban,12748.0,1,5.2,1,7,2,2,2,79.6,93.0,2,8,0
Urban,6337.0,1,10.4,1,6,2,3,2,77.8,65.0,0,4,0
Semi-urban,13213.0,0,10.2,1,2,1,3,2,75.4,59.3,0,6,1
Urban,3715.0,2,3.0,2,2,1,3,1,79.4,53.9,0,6,1
Rural,4457.0,1,7.2,1,8,2,2,2,26.3,55.3,0,6,0
Urban,18668.0,2,6.5,2,3,1,2,2,56.5,35.0,6,6,1
Urban,31283.0,1,13.6,2,10,2,2,3,51.8,35.0,1,7,0
Semi-urban,14749.0,0,4.4,0,7,2,3,2,60.6,62.5,0,4,0
Rural,2000.0,1,30.49,1,7,1,3,3,80.3,58.8,0,6,0
Semi-urban,6714.0,0,5.0,0,6,2,2,2,88.5,38.0,0,7,0
Semi-urban,14129.0,1,21.1,2,9,2,1,3,31.0,66.1,2,6,0
Urban,26392.0,1,3.3,2,7,1,3,3,73.8,52.3,0,3,0
Semi-urban,4136.0,2,0.5,1,9,2,2,3,62.5,50.4,3,7,0
Urban,50000.0,2,13.2,0,6,2,2,3,63.6,77.1,0,9,0
Urban,4923.0,2,1.8,1,8,2,2,2,59.9,46.8,1,9,0
Semi-urban,46973.0,1,1.6,0,10,3,2,2,33.8,63.5,3,5,0
Rural,8962.0,1,3.79,1,4,1,1,3,18.2,38.9,2,9,0
Rural,29449.0,0,18.73,0,5,1,2,2,49.1,64.4,3,5,1
Rural,16470.0,1,1.94,2,2,1,3,1,75.1,51.5,0,5,1
Rural,2504.0,2,5.65,0,8,2,2,2,28.1,83.6,3,8,1
Urban,3303.0,1,8.6,1,9,2,2,3,36.0,40.4,1,5,1
Semi-urban,12852.0,2,37.1,1,6,2,3,3,74.4,67.4,3,8,0
Semi-urban,18924.0,0,18.2,2,5,2,2,1,66.7,59.5,2,5,1
Urban,13709.0,2,13.0,0,9,3,2,2,66.4,54.2,1,7,0
Semi-urban,50000.0,2,13.2,0,4,2,3,2,22.6,73.1,3,7,1
Urban,4694.0,1,4.1,2,8,2,3,2,14.3,40.5,3,4,1
Urban,22655.0,1,0.5,0,10,3,1,3,24.4,46.2,1,7,0
Semi-urban,5829.0,0,7.0,1,3,1,3,2,45.5,63.8,0,7,1
Rural,9538.0,0,50.0,1,10,3,3,3,42.6,39.6,2,8,1
Semi-urban,8614.0,1,28.6,0,7,2,1,3,61.4,77.3,1,10,0
Rural,4354.0,0,19.71,1,5,2,2,2,52.6,36.6,0,4,1
Rural,12770.0,2,10.78,1,8,2,2,2,75.2,60.4,2,5,0
Semi-urban,3350.0,1,4.2,2,3,1,2,2,74.1,77.3,5,10,1
Semi-urban,8344.0,1,12.4,0,7,2,2,2,48.3,67.6,3,5,1
Urban,7974.0,1,10.2,0,3,1,1,3,77.3,92.1,1,7,0
Urban,17570.0,2,21.9,0,3,1,1,3,21.8,44.8,1,5,1
Urban,8583.0,1,2.0,0,6,2,1,3,72.1,53.2,0,6,0
Rural,7895.0,1,0.74,1,8,2,2,2,92.7,57.2,0,6,0
Urban,5233.0,0,23.2,2,8,2,2,2,76.9,35.0,0,3,1
Semi-urban,14737.0,0,2.0,2,5,2,2,1,12.1,35.0,0,4,1
Urban,3364.0,0,5.0,1,3,1,2,1,87.7,64.6,3,6,1
Semi-urban,32949.0,0,5.0,0,7,2,2,2,88.3,78.2,0,8,0
Semi-urban,7706.0,1,0.5,0,5,1,3,2,71.1,54.0,0,5,0
Semi-urban,26613.0,0,0.5,1,7,2,1,3,69.3,80.9,3,7,0
Rural,17722.0,0,0.89,1,9,3,3,1,93.2,52.3,0,7,0
Rural,9838.0,0,3.98,0,3,1,1,1,95.4,85.7,0,5,0
Semi-urban,3975.0,1,4.0,2,3,1,2,3,80.5,64.6,5,7,1
Urban,15968.0,1,3.6,0,7,1,2,3,87.2,43.1,3,5,0
Semi-urban,5236.0,1,3.4,1,6,1,1,3,53.4,35.0,1,6,1
Urban,11921.0,1,8.8,0,10,3,1,3,69.3,73.8,0,10,0
Rural,7381.0,0,8.58,0,9,3,1,2,83.4,66.4,6,8,1
Rural,7319.0,0,10.25,2,6,2,1,2,68.4,65.1,0,10,0
Urban,27436.0,0,0.6,0,7,2,2,3,75.9,72.4,0,6,0
Rural,12743.0,0,8.75,0,9,2,3,2,62.8,86.0,0,9,0
Urban,14327.0,1,5.8,0,6,2,2,2,50.2,48.7,3,5,1
Semi-urban,21589.0,1,7.5,1,4,1,1,2,20.1,35.0,1,4,1
Rural,5639.0,1,12.13,0,2,1,3,1,36.1,87.3,0,7,1
Rural,6877.0,0,4.16,0,5,3,3,3,64.2,89.1,0,10,0
Urban,15082.0,1,6.8,1,5,1,1,2,32.4,63.2,1,10,0
Rural,5025.0,1,7.02,1,10,3,3,3,86.8,49.0,0,4,0
Semi-urban,3983.0,0,15.5,1,2,2,2,1,70.3,86.2,2,5,1
Semi-urban,32259.0,1,0.5,1,5,2,1,2,72.7,83.4,0,10,0
Urban,10612.0,2,8.2,1,5,1,2,3,84.2,69.9,1,4,0
Urban,32372.0,0,4.0,0,6,2,3,2,59.2,79.5,1,10,0
Rural,10085.0,1,10.44,1,5,1,1,3,86.8,41.8,0,6,0
Urban,26970.0,0,2.0,0,5,2,3,2,91.2,69.9,6,9,1
Rural,2000.0,0,4.0,0,6,2,2,1,19.7,60.5,5,3,1
Rural,14181.0,1,2.83,1,5,2,3,3,35.5,63.4,0,7,0
Urban,9627.0,0,1.1,1,5,1,1,2,60.2,66.2,0,6,0
Semi-urban,13496.0,1,14.1,2,6,2,2,2,90.3,76.7,1,9,0
Urban,9477.0,1,18.7,0,8,3,1,2,11.4,60.8,2,6,0
Urban,11065.0,1,1.2,1,7,2,2,1,51.9,59.2,5,6,1
Semi-urban,36640.0,1,17.9,2,4,1,3,1,55.4,41.4,2,10,1
Semi-urban,9679.0,2,3.8,0,6,2,1,2,69.9,63.0,7,7,1
Semi-urban,23339.0,0,0.5,0,5,2,1,2,57.8,89.2,1,8,0
Rural,8099.0,0,10.88,2,3,3,3,1,90.1,60.7,6,6,1
Semi-urban,8223.0,0,0.5,2,3,1,2,2,77.6,38.4,6,8,1
Urban,50000.0,0,10.9,2,8,2,2,3,41.0,40.2,9,5,1
Urban,34053.0,2,3.3,1,10,3,3,2,71.6,72.1,0,9,0
Urban,12134.0,2,10.1,2,4,1,2,3,58.3,65.8,2,7,0
Urban,6867.0,0,12.9,1,4,2,3,2,44.3,55.0,0,8,1
Semi-urban,10002.0,0,24.4,0,7,2,1,2,91.0,63.0,3,8,0
Rural,7746.0,0,9.62,0,6,2,2,2,45.5,68.6,2,5,1
Semi-urban,9041.0,2,8.7,1,3,2,3,1,50.5,65.6,1,9,0
Rural,4295.0,1,15.1,1,4,1,1,3,36.1,67.6,2,6,1
Rural,4138.0,0,29.33,1,5,2,2,3,28.0,45.9,1,9,1
Urban,18295.0,2,5.3,0,4,2,3,2,37.8,71.0,4,7,1
Semi-urban,21358.0,2,6.9,0,6,1,2,3,16.7,56.1,5,2,1
Rural,5208.0,1,0.76,1,10,3,1,3,73.7,84.9,2,5,0
Semi-urban,31601.0,0,16.1,0,6,3,3,2,48.2,62.4,1,8,1
Urban,36418.0,0,22.6,1,3,2,1,2,60.0,38.1,1,6,1
Semi-urban,17875.0,0,7.0,1,6,3,2,2,14.8,52.9,1,6,0
Semi-urban,4812.0,0,13.5,1,5,2,3,2,33.1,75.1,1,6,1
Rural,14074.0,1,8.22,1,3,1,2,2,61.7,64.8,6,4,1
Rural,8734.0,0,7.17,1,7,2,2,2,14.3,58.8,2,7,1
Semi-urban,6518.0,1,0.5,1,6,3,2,2,60.8,63.7,1,8,0
Semi-urban,7778.0,1,7.1,0,9,3,3,3,80.7,63.9,1,8,0
Urban,19006.0,1,27.0,0,8,3,2,2,75.9,52.7,1,6,0
Semi-urban,4329.0,1,10.4,1,5,2,3,2,66.7,52.6,1,5,0
Rural,13349.0,1,5.87,2,9,2,2,2,64.7,82.4,0,8,0
Rural,5599.0,0,50.0,0,2,2,2,1,60.3,86.0,0,8,1
Rural,4112.0,0,11.72,0,6,3,2,3,76.8,60.0,1,3,0
Rural,5431.0,0,8.46,1,3,2,1,3,47.7,51.4,5,10,1
Urban,50000.0,0,3.9,1,7,3,3,1,85.9,57.7,0,7,0
Urban,19831.0,1,10.6,1,5,2,3,2,26.9,82.1,7,6,1
Urban,11709.0,0,4.2,1,5,2,2,3,43.0,73.1,2,7,0
Urban,5119.0,2,15.4,0,6,2,3,3,38.7,77.7,8,8,1
Semi-urban,44094.0,0,0.5,0,7,2,3,2,63.2,67.5,0,8,0
Urban,41002.0,1,5.0,0,4,3,3,1,54.9,44.4,7,6,1
Urban,46965.0,0,26.6,1,3,1,1,2,50.1,42.8,1,7,1
Rural,4813.0,0,1.47,1,4,2,3,1,82.6,66.3,0,10,0
Urban,10921.0,1,12.5,2,7,2,3,3,54.8,60.3,0,9,0
Urban,12025.0,1,22.7,0,4,1,1,3,85.2,79.0,0,9,0
Rural,5800.0,2,20.66,0,4,2,3,1,95.2,89.7,4,10,1
Urban,9952.0,2,5.4,2,7,2,3,2,87.5,79.3,0,4,0
Urban,10557.0,1,1.4,2,10,2,3,3,89.2,58.4,3,7,0
Rural,9063.0,0,18.61,0,8,2,1,2,76.5,46.0,0,8,0
Urban,50000.0,1,8.2,0,6,3,1,2,96.8,35.6,2,4,0
Semi-urban,3265.0,0,1.2,2,4,2,3,2,55.2,59.5,0,5,1
Semi-urban,6185.0,1,0.5,1,7,2,2,1,74.0,65.8,4,5,1
Semi-urban,4531.0,1,0.5,0,10,3,1,2,68.8,39.3,0,7,0
Urban,18841.0,0,6.1,2,3,1,3,3,58.3,59.2,4,6,1
Urban,38291.0,0,2.8,2,7,2,2,2,80.9,72.4,1,10,0
Semi-urban,12260.0,1,7.8,1,6,1,1,2,39.2,82.2,0,9,0
Urban,6428.0,2,22.8,1,7,2,2,3,83.3,43.6,3,10,0
Rural,3395.0,1,29.09,0,4,1,2,2,14.0,37.9,1,8,1
Rural,13783.0,0,18.86,0,7,2,2,2,14.4,57.2,8,7,1
Rural,31546.0,0,5.7,1,10,2,2,3,66.3,45.1,0,6,0
Semi-urban,9271.0,0,0.5,0,6,1,3,3,87.6,96.9,0,5,0
Semi-urban,3742.0,1,9.1,0,5,1,2,2,76.5,80.5,5,10,1
Semi-urban,40123.0,1,4.2,0,10,2,1,3,32.5,38.0,4,8,1
Rural,4724.0,0,14.41,0,3,3,1,1,71.6,48.5,9,7,1
Rural,6590.0,0,5.41,2,5,1,3,3,55.7,53.3,1,5,1
Rural,32147.0,0,20.83,0,5,1,2,2,88.0,100.0,0,8,0
Urban,26019.0,1,5.4,0,5,2,3,2,58.7,64.8,0,4,0
Rural,3255.0,1,16.53,0,3,1,2,1,56.2,89.3,6,6,1
Semi-urban,4952.0,0,0.7,0,5,1,1,3,79.6,65.3,0,10,0
Rural,4690.0,1,0.89,1,7,3,2,1,77.0,63.9,0,6,0
Semi-urban,11371.0,2,4.7,1,4,2,3,1,85.9,71.6,3,7,1
Urban,9952.0,0,11.2,0,8,2,1,2,84.3,92.2,0,10,0
Urban,33333.0,0,25.6,1,4,1,2,2,82.4,50.3,0,6,0
Urban,16234.0,1,3.0,1,9,2,1,3,26.3,61.6,1,7,0
Semi-urban,7928.0,0,6.2,2,3,1,3,2,98.4,54.1,0,8,1
Rural,6873.0,1,0.71,1,7,2,2,2,62.9,35.0,0,6,0
Rural,32452.0,1,19.69,0,9,3,1,3,84.2,67.5,5,6,0
Semi-urban,27989.0,1,8.6,1,5,2,2,2,37.6,70.3,1,8,0
Semi-urban,11872.0,0,2.7,2,10,2,3,3,76.7,78.8,4,6,1
Semi-urban,14108.0,2,1.9,2,5,1,1,2,70.1,60.3,0,6,0
Semi-urban,2480.0,1,11.2,2,4,3,2,1,68.0,60.2,6,8,1
Urban,38620.0,1,5.9,2,4,2,3,1,69.1,35.0,0,7,1
Urban,14186.0,1,0.5,1,10,2,1,3,14.4,71.4,0,7,0
Rural,8099.0,1,27.2,2,9,3,2,2,79.4,80.5,7,4,1
Rural,7148.0,2,26.17,0,3,3,3,1,10.0,49.6,0,6,1
Rural,14285.0,0,23.26,1,5,2,2,3,84.6,57.8,0,7,0
Semi-urban,13286.0,0,0.9,1,3,2,2,3,57.1,56.4,0,7,0
Rural,4681.0,1,0.97,0,3,1,2,2,89.8,50.2,0,5,0
Semi-urban,13780.0,1,3.2,2,6,2,1,3,55.1,64.7,2,8,0
Rural,8521.0,0,5.34,2,10,2,1,3,87.8,81.7,0,8,0
Rural,2868.0,2,1.79,0,10,3,2,2,10.0,71.0,8,7,1
Rural,7098.0,1,2.65,1,3,2,3,1,12.8,45.1,0,8,1
Rural,6074.0,2,4.59,1,8,3,3,1,73.9,46.2,0,3,0
Urban,10766.0,0,6.4,1,5,2,1,2,21.2,54.1,1,7,0
Rural,6286.0,1,1.06,0,8,3,2,2,56.4,78.1,1,8,0
Semi-urban,10711.0,2,7.8,2,4,2,2,1,72.2,35.0,1,3,1
Semi-urban,3605.0,2,24.6,0,3,2,3,1,94.3,77.3,0,10,0
Semi-urban,22444.0,0,5.2,1,4,1,3,3,55.8,68.5,2,8,1
Urban,5116.0,1,8.0,1,6,2,3,2,51.2,62.0,0,6,0
Urban,14419.0,0,14.7,2,4,1,2,2,53.3,50.8,4,7,1
Urban,11079.0,0,31.4,1,4,1,3,2,19.7,82.3,2,8,1
Rural,13729.0,2,4.11,1,3,1,3,2,74.9,68.7,2,8,0
Rural,18472.0,1,19.42,1,3,1,1,2,90.7,56.3,0,5,0
Semi-urban,7248.0,2,2.7,0,3,1,3,2,58.9,66.9,1,8,1
Rural,14428.0,1,1.02,1,2,1,2,2,76.7,53.0,7,5,1
Semi-urban,7721.0,1,0.5,2,7,3,3,1,56.8,35.0,1,7,0
Rural,3997.0,2,16.79,0,9,2,2,2,88.1,47.8,2,6,0
Urban,34562.0,1,22.6,1,6,1,1,3,90.2,93.5,0,6,0
Urban,12643.0,0,8.0,1,4,3,3,3,71.8,58.4,2,3,1
Rural,4349.0,1,0.71,0,6,2,2,1,78.0,46.6,7,5,1
Urban,24347.0,1,3.2,0,4,2,2,2,28.1,46.3,3,9,0
Rural,4283.0,0,12.47,1,6,3,2,3,35.0,42.6,3,8,1
Semi-urban,6647.0,2,7.2,0,7,2,3,2,54.2,75.6,2,8,0
Rural,9222.0,0,13.63,0,6,1,1,3,89.9,79.3,7,6,1
Semi-urban,3824.0,1,4.2,1,4,1,3,1,64.7,35.9,7,6,1
Semi-urban,2383.0,0,16.5,1,7,2,2,2,56.0,89.1,1,10,0
Semi-urban,32848.0,0,1.2,0,6,2,3,3,35.4,44.0,1,9,1
Semi-urban,11066.0,2,20.0,2,3,3,2,1,89.5,78.9,0,9,0
Semi-urban,4922.0,1,0.9,1,8,2,1,2,41.9,49.9,1,6,0
Semi-urban,38219.0,2,2.5,1,5,3,2,1,13.0,50.8,0,7,0
Urban,6129.0,0,6.4,2,5,2,2,1,89.4,52.1,0,7,0
Urban,11969.0,0,1.9,1,4,2,3,1,63.7,40.0,6,8,1
Rural,19842.0,0,4.94,0,4,1,2,3,34.0,66.0,1,10,1
Urban,6068.0,2,26.8,0,4,1,1,3,57.3,37.9,1,5,0
Urban,31950.0,1,1.5,0,2,1,3,3,82.2,65.4,0,8,0
Semi-urban,18753.0,1,3.0,0,9,3,3,2,70.7,38.3,0,7,0
Urban,42199.0,1,5.3,0,5,1,1,2,22.3,65.1,2,8,0
Rural,2306.0,0,4.11,1,5,1,1,3,16.3,35.0,0,4,1
Rural,15577.0,1,3.02,1,4,2,3,2,29.3,35.0,2,6,1
Semi-urban,9903.0,2,0.5,0,6,2,1,3,97.6,99.2,1,7,0
Semi-urban,23786.0,1,12.2,0,3,2,3,1,92.6,82.7,2,6,0
Semi-urban,50000.0,0,10.6,1,9,3,3,1,10.0,77.0,1,6,1
Urban,12475.0,1,14.3,1,8,2,2,2,86.0,83.5,0,7,0
Semi-urban,13722.0,1,3.6,0,4,1,3,2,52.8,41.0,0,7,0
Urban,2647.0,2,8.7,1,5,2,2,2,87.3,78.9,4,8,0
Urban,7635.0,1,1.0,1,10,3,3,2,43.0,39.3,1,8,1
Rural,8275.0,1,34.28,0,4,2,3,1,54.9,68.1,1,6,1
Urban,18233.0,1,10.1,0,4,3,2,2,43.3,54.6,2,6,0
Urban,9027.0,2,26.5,1,7,2,3,2,49.8,47.7,1,8,0
Rural,5083.0,1,4.58,0,8,2,2,2,61.9,97.0,1,9,0
Urban,7542.0,0,6.0,0,8,3,3,1,43.3,35.0,1,5,1
Semi-urban,4247.0,0,0.6,1,6,2,2,2,79.0,73.4,0,6,0
Rural,6369.0,1,5.42,0,6,2,1,2,89.2,100.0,0,6,0
Rural,2309.0,1,25.53,1,9,2,2,2,27.4,42.9,4,5,1
Rural,3106.0,0,3.64,0,2,1,2,1,17.0,45.0,0,10,1
Semi-urban,4856.0,0,7.1,0,5,2,3,1,67.1,68.7,2,4,1
Semi-urban,7845.0,1,1.2,0,6,3,2,3,10.0,47.7,0,7,0
Urban,12000.0,1,22.6,1,5,2,1,2,53.6,56.0,3,10,0
Urban,7946.0,0,2.8,1,10,2,1,3,13.2,38.9,1,10,0
Rural,5611.0,1,2.3,0,6,3,3,2,73.4,90.6,1,8,0
Rural,3242.0,0,7.91,2,7,2,2,3,78.1,35.0,0,4,0
Rural,6918.0,0,1.31,1,5,2,3,1,52.3,52.6,4,5,1
Rural,14241.0,0,6.42,0,6,3,2,3,61.4,73.0,0,7,0
Rural,4464.0,0,5.67,1,3,1,2,2,73.6,58.8,0,6,1
Rural,4865.0,1,10.73,1,7,2,2,2,10.0,54.0,5,7,1
Rural,9007.0,1,20.81,1,7,2,1,3,36.3,62.3,8,4,1
Urban,32862.0,1,4.8,1,3,1,2,3,47.0,71.5,1,8,0
Urban,7420.0,0,1.9,0,4,1,2,3,69.3,74.4,7,8,1
Urban,5807.0,1,21.8,2,10,3,1,3,72.1,93.9,0,9,0
Rural,2000.0,1,26.01,1,6,2,3,1,10.0,35.3,2,7,1
Semi-urban,16812.0,2,0.5,1,7,2,1,2,61.4,64.8,0,5,0
Rural,5337.0,0,13.8,1,6,3,1,2,93.8,49.7,0,6,0
Urban,11932.0,2,11.1,1,4,2,3,1,80.9,70.7,0,6,0
Semi-urban,6832.0,2,14.1,1,7,3,2,3,48.1,60.2,1,4,0
Semi-urban,4168.0,1,10.8,1,8,3,3,1,85.4,89.1,0,6,0
Urban,38790.0,1,4.5,0,5,2,2,1,85.1,98.3,0,8,0
Semi-urban,45781.0,0,0.6,1,2,2,1,1,74.6,72.0,1,6,0
Rural,16868.0,0,1.65,2,3,1,2,2,33.8,46.1,1,7,1
Urban,7907.0,2,8.5,2,7,2,1,3,39.5,59.9,1,7,0
Urban,11476.0,0,4.3,1,4,1,3,3,17.1,35.0,1,4,1
Semi-urban,28669.0,2,0.5,1,9,3,2,3,85.4,82.6,0,4,0
Rural,4236.0,0,16.48,0,8,2,1,3,31.5,35.7,0,6,0
Urban,18203.0,1,46.4,0,2,1,1,3,83.4,61.9,5,7,1
Urban,4467.0,0,5.6,1,4,1,1,3,86.6,49.7,0,10,0
Rural,10493.0,0,14.52,2,3,2,2,1,61.2,69.6,1,7,1
Rural,6881.0,1,1.85,0,6,2,2,2,49.8,46.3,4,5,1
Rural,2955.0,0,16.65,1,4,1,1,3,91.5,100.0,0,8,0
Semi-urban,45527.0,2,2.6,0,7,2,1,1,90.2,80.1,0,10,0
Urban,6326.0,0,2.7,1,10,3,1,3,10.0,60.0,4,10,1
Semi-urban,18268.0,1,12.0,1,6,1,2,2,73.5,61.2,0,8,0
Rural,21873.0,0,12.76,1,5,1,3,2,81.3,45.4,0,4,1
Urban,21066.0,0,1.7,0,3,1,1,2,88.1,55.3,0,10,0
Rural,5469.0,1,2.54,0,5,2,3,1,76.4,76.4,5,9,1
Semi-urban,19522.0,0,1.7,0,6,3,1,3,31.3,53.0,0,9,0
Semi-urban,25102.0,2,32.3,1,8,2,1,2,46.9,68.7,1,7,0
Semi-urban,37738.0,0,0.6,2,9,2,2,2,57.9,38.3,3,7,1
Urban,20080.0,2,20.0,0,3,1,1,3,32.5,46.7,0,7,0
Semi-urban,22738.0,1,2.2,1,4,2,1,2,41.4,81.2,1,6,0
Semi-urban,9257.0,1,5.9,0,6,2,3,2,65.3,60.7,1,8,0
Urban,15211.0,1,7.5,0,4,1,2,3,10.0,37.2,0,9,0
Urban,10458.0,1,6.1,2,6,3,2,2,76.2,86.9,4,5,0
Semi-urban,6230.0,0,6.0,0,6,2,2,3,60.7,70.4,2,10,0
Urban,49547.0,1,12.6,1,9,3,1,3,74.7,74.2,1,8,0
Semi-urban,50000.0,1,1.3,2,4,1,3,2,67.5,89.1,0,7,0
Rural,3378.0,1,8.54,0,4,3,2,1,18.4,45.2,2,5,1
Rural,2000.0,2,0.74,2,7,3,2,3,64.9,55.6,3,6,1
Semi-urban,6013.0,1,0.5,2,7,2,1,2,94.7,35.0,2,3,0
Semi-urban,7679.0,1,17.8,2,7,2,3,2,74.5,60.6,0,7,0
Urban,12575.0,0,3.0,2,10,3,2,3,41.6,63.8,0,8,0
Urban,7140.0,2,1.0,0,10,3,1,2,96.1,65.2,0,4,0
Semi-urban,33708.0,1,3.6,0,4,3,3,1,60.7,47.2,3,5,1
Semi-urban,5864.0,1,5.8,2,6,2,3,1,16.2,35.0,7,7,1
Urban,5874.0,0,17.7,0,5,1,2,1,52.8,69.9,0,6,0
Semi-urban,43690.0,1,25.3,1,5,3,3,1,48.7,42.8,1,4,1
Urban,22591.0,0,12.4,0,3,3,3,1,37.6,70.8,6,6,1
Rural,19907.0,0,4.4,1,4,1,2,3,53.4,68.3,0,4,0
Urban,2006.0,1,2.6,0,10,3,2,2,42.9,81.2,9,9,1
